instance_id,family,benchmark,tier,arithmetic,certified_positive,certified_lb_float,notes
"dc_cnn1","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.23292240500450134","structural: margin>=B=0.2329; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=2"
"dc_cnn10","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11774065345525742","structural: margin>=B=0.1177; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=10"
"dc_cnn11","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.033400822430849075","structural: margin>=B=0.0334; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn12","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.07442329078912735","structural: margin>=B=0.07442; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn13","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn14","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.20869429409503937","structural: margin>=B=0.2087; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn15","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.2514927089214325","structural: margin>=B=0.2515; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn16","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.02485787868499756","structural: margin>=B=0.02486; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn17","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.05538800731301308","structural: margin>=B=0.05539; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn18","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn19","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15531645715236664","structural: margin>=B=0.1553; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn2","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.13573309779167175","structural: margin>=B=0.1357; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=4"
"dc_cnn20","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.18716830015182495","structural: margin>=B=0.1872; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn21","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.23716120421886444","structural: margin>=B=0.2372; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
